,Device_Type,Order_Date,Monthly_Demand,Lead_Time,Stock_Level
1646,Monitoring,2022-06-09,1241,12,1275
1647,Diagnostic,2022-06-10,1439,25,1536
1648,Therapeutic,2022-06-11,1260,17,1349
1649,Therapeutic,2022-06-11,1351,5,1386
1650,Diagnostic,2022-06-12,1222,21,1318
1651,Therapeutic,2022-06-15,1331,10,1371
1652,Diagnostic,2022-06-18,1311,25,1381
1653,Surgical,2022-06-18,1281,24,1373
1654,Monitoring,2022-06-19,1269,21,1333
1655,Monitoring,2022-06-20,1346,22,1378
1656,Diagnostic,2022-06-23,1259,14,1354
1657,Surgical,2022-06-25,1339,10,1436
1658,Surgical,2022-06-26,1320,7,1423
1659,Surgical,2022-06-28,1409,15,1462
1660,Diagnostic,2022-06-30,1294,16,1333
1661,Therapeutic,2022-07-02,1292,6,1332
1662,Therapeutic,2022-07-04,1217,11,1277
1663,Diagnostic,2022-07-04,1379,25,1452
1664,Monitoring,2022-07-04,1226,4,1265
1665,Monitoring,2022-07-05,1373,9,1444
1666,Monitoring,2022-07-05,1431,18,1472
1667,Therapeutic,2022-07-06,1348,12,1433
1668,Surgical,2022-07-07,1353,8,1451
1669,Therapeutic,2022-07-08,1282,24,1307
1670,Monitoring,2022-07-08,1172,22,1205
1671,Surgical,2022-07-08,1291,23,1373
1672,Diagnostic,2022-07-09,1402,28,1436
1673,Monitoring,2022-07-11,1287,19,1388
1674,Surgical,2022-07-12,1367,28,1475
1675,Surgical,2022-07-12,1236,11,1292
1676,Surgical,2022-07-13,1307,13,1392
1677,Monitoring,2022-07-14,1351,10,1396
1678,Monitoring,2022-07-15,1318,23,1388
1679,Monitoring,2022-07-15,1325,25,1386
1680,Monitoring,2022-07-15,1346,26,1434
1681,Therapeutic,2022-07-17,1392,19,1447
1682,Therapeutic,2022-07-17,1324,18,1392
1683,Diagnostic,2022-07-17,1347,10,1390
1684,Monitoring,2022-07-18,1338,5,1379
1685,Therapeutic,2022-07-19,1342,7,1412
1686,Surgical,2022-07-19,1286,15,1329
1687,Monitoring,2022-07-22,1276,19,1347
1688,Diagnostic,2022-07-22,1387,29,1434
1689,Monitoring,2022-07-22,1318,27,1392
1690,Diagnostic,2022-07-24,1150,20,1177
1691,Monitoring,2022-07-24,1249,15,1322
1692,Diagnostic,2022-07-25,1364,6,1397
1693,Surgical,2022-07-26,1244,11,1290
1694,Therapeutic,2022-07-26,1360,11,1396
1695,Surgical,2022-07-26,1299,23,1342
1696,Surgical,2022-07-28,1234,11,1318
1697,Surgical,2022-07-30,1215,15,1256
1698,Diagnostic,2022-07-31,1352,19,1454
1699,Surgical,2022-07-31,1224,18,1248
1700,Diagnostic,2022-08-01,1221,10,1310
1701,Surgical,2022-08-02,1308,17,1408
1702,Diagnostic,2022-08-05,1239,23,1335
1703,Diagnostic,2022-08-05,1296,7,1358
1704,Therapeutic,2022-08-06,1223,15,1278
1705,Monitoring,2022-08-07,1390,11,1451
1706,Therapeutic,2022-08-08,1311,23,1404
1707,Monitoring,2022-08-09,1348,12,1382
1708,Monitoring,2022-08-10,1316,19,1415
1709,Therapeutic,2022-08-10,1379,3,1421
1710,Therapeutic,2022-08-11,1289,22,1369
1711,Therapeutic,2022-08-14,1321,20,1408
1712,Diagnostic,2022-08-15,1332,8,1416
1713,Therapeutic,2022-08-16,1303,4,1335
1714,Therapeutic,2022-08-17,1310,7,1337
1715,Therapeutic,2022-08-17,1279,28,1372
1716,Monitoring,2022-08-18,1225,20,1276
1717,Surgical,2022-08-18,1310,27,1370
1718,Surgical,2022-08-19,1365,12,1395
1719,Therapeutic,2022-08-21,1258,11,1342
1720,Monitoring,2022-08-23,1219,6,1248
1721,Surgical,2022-08-23,1316,7,1347
1722,Diagnostic,2022-08-25,1182,13,1266
1723,Monitoring,2022-08-27,1328,11,1417
1724,Surgical,2022-08-27,1351,13,1384
1725,Surgical,2022-08-29,1321,15,1364
1726,Surgical,2022-08-29,1294,29,1390
1727,Surgical,2022-08-30,1211,4,1307
1728,Therapeutic,2022-09-03,1311,7,1371
1729,Monitoring,2022-09-04,1341,18,1422
1730,Surgical,2022-09-06,1216,18,1283
1731,Therapeutic,2022-09-08,1224,5,1289
1732,Monitoring,2022-09-08,1223,21,1280
1733,Monitoring,2022-09-11,1295,13,1321
1734,Surgical,2022-09-12,1280,10,1362
1735,Monitoring,2022-09-13,1295,14,1397
1736,Therapeutic,2022-09-14,1295,5,1392
1737,Surgical,2022-09-15,1228,23,1286
1738,Surgical,2022-09-15,1274,25,1310
1739,Diagnostic,2022-09-18,1269,21,1360
1740,Therapeutic,2022-09-18,1402,13,1459
1741,Surgical,2022-09-18,1318,17,1373
1742,Therapeutic,2022-09-18,1334,4,1415
1743,Monitoring,2022-09-20,1280,19,1354
1744,Surgical,2022-09-21,1172,10,1256
1745,Surgical,2022-09-22,1258,28,1311
1746,Diagnostic,2022-09-22,1450,26,1520
1747,Surgical,2022-09-22,1214,5,1259
1748,Therapeutic,2022-09-22,1417,28,1465
1749,Monitoring,2022-09-23,1321,9,1359
1750,Therapeutic,2022-09-25,1402,6,1480
1751,Monitoring,2022-10-01,1321,4,1373
1752,Therapeutic,2022-10-01,1322,17,1353
1753,Diagnostic,2022-10-01,1393,11,1424
1754,Monitoring,2022-10-02,1224,29,1304
1755,Surgical,2022-10-03,1366,4,1408
1756,Diagnostic,2022-10-03,1328,23,1370
1757,Diagnostic,2022-10-04,1224,25,1314
1758,Surgical,2022-10-07,1317,22,1384
1759,Diagnostic,2022-10-08,1288,16,1330
1760,Monitoring,2022-10-08,1362,4,1418
1761,Monitoring,2022-10-11,1278,14,1360
1762,Surgical,2022-10-12,1389,6,1481
1763,Therapeutic,2022-10-13,1237,14,1323
1764,Monitoring,2022-10-13,1247,7,1295
1765,Therapeutic,2022-10-16,1368,17,1476
1766,Diagnostic,2022-10-17,1225,26,1261
1767,Surgical,2022-10-18,1292,23,1347
1768,Surgical,2022-10-19,1400,7,1498
1769,Diagnostic,2022-10-20,1274,15,1300
1770,Diagnostic,2022-10-21,1355,21,1395
1771,Diagnostic,2022-10-21,1336,23,1438
1772,Surgical,2022-10-22,1381,13,1435
1773,Monitoring,2022-10-22,1338,23,1403
1774,Surgical,2022-10-23,1292,27,1376
1775,Monitoring,2022-10-23,1316,23,1414
1776,Surgical,2022-10-24,1374,20,1454
1777,Therapeutic,2022-10-24,1270,11,1324
1778,Diagnostic,2022-10-25,1399,7,1461
1779,Surgical,2022-10-27,1294,10,1330
1780,Therapeutic,2022-10-30,1317,22,1394
1781,Therapeutic,2022-10-31,1345,28,1395
1782,Therapeutic,2022-10-31,1344,10,1404
1783,Monitoring,2022-11-02,1249,15,1287
1784,Surgical,2022-11-03,1309,14,1360
1785,Monitoring,2022-11-05,1323,6,1398
1786,Surgical,2022-11-06,1348,9,1447
1787,Monitoring,2022-11-08,1365,20,1446
1788,Diagnostic,2022-11-08,1298,7,1384
1789,Therapeutic,2022-11-09,1294,15,1333
1790,Monitoring,2022-11-09,1345,5,1442
1791,Therapeutic,2022-11-10,1339,18,1392
1792,Monitoring,2022-11-10,1366,17,1441
1793,Diagnostic,2022-11-13,1376,22,1449
1794,Diagnostic,2022-11-13,1422,16,1508
1795,Diagnostic,2022-11-13,1349,6,1418
1796,Surgical,2022-11-14,1322,22,1399
1797,Therapeutic,2022-11-15,1319,13,1366
1798,Diagnostic,2022-11-15,1376,5,1437
1799,Therapeutic,2022-11-16,1312,3,1347
1800,Surgical,2022-11-16,1311,15,1343
1801,Monitoring,2022-11-17,1349,23,1417
1802,Diagnostic,2022-11-17,1374,11,1402
1803,Therapeutic,2022-11-18,1405,21,1435
1804,Monitoring,2022-11-18,1316,16,1367
1805,Therapeutic,2022-11-19,1497,25,1612
1806,Monitoring,2022-11-20,1391,24,1438
1807,Diagnostic,2022-11-21,1343,18,1390
1808,Diagnostic,2022-11-21,1449,25,1523
1809,Monitoring,2022-11-22,1286,22,1321
1810,Monitoring,2022-11-23,1212,12,1251
1811,Diagnostic,2022-11-23,1347,9,1415
1812,Monitoring,2022-11-23,1437,24,1499
1813,Therapeutic,2022-11-23,1340,26,1408
1814,Therapeutic,2022-11-25,1284,19,1372
1815,Surgical,2022-11-25,1409,17,1473
1816,Surgical,2022-11-26,1314,7,1381
1817,Therapeutic,2022-11-26,1296,17,1385
1818,Diagnostic,2022-11-28,1444,29,1519
1819,Monitoring,2022-11-29,1496,11,1614
1820,Diagnostic,2022-11-29,1414,22,1464
1821,Therapeutic,2022-11-30,1328,11,1411
1822,Diagnostic,2022-12-01,1417,20,1527
1823,Monitoring,2022-12-03,1432,12,1508
1824,Therapeutic,2022-12-03,1500,13,1595
1825,Monitoring,2022-12-04,1400,24,1510
1826,Monitoring,2022-12-04,1470,6,1519
1827,Therapeutic,2022-12-05,1424,29,1516
1828,Monitoring,2022-12-06,1354,11,1426
1829,Monitoring,2022-12-07,1417,6,1452
1830,Diagnostic,2022-12-09,1367,14,1468
1831,Surgical,2022-12-09,1366,17,1419
1832,Monitoring,2022-12-12,1449,8,1530
1833,Therapeutic,2022-12-12,1420,26,1516
1834,Surgical,2022-12-15,1349,26,1378
1835,Monitoring,2022-12-16,1435,24,1532
1836,Surgical,2022-12-17,1411,13,1450
1837,Monitoring,2022-12-17,1352,29,1387
1838,Therapeutic,2022-12-18,1428,23,1514
1839,Monitoring,2022-12-22,1364,8,1399
1840,Therapeutic,2022-12-23,1386,27,1470
1841,Monitoring,2022-12-23,1374,10,1420
1842,Monitoring,2022-12-26,1516,14,1595
1843,Diagnostic,2022-12-27,1473,24,1586
1844,Monitoring,2022-12-29,1454,5,1565
1845,Surgical,2022-12-29,1464,15,1530
1846,Monitoring,2022-12-30,1521,5,1609
1847,Monitoring,2022-12-30,1336,26,1395
1848,Diagnostic,2022-12-31,1394,6,1491
1849,Therapeutic,2023-01-03,1447,24,1522
1850,Therapeutic,2023-01-04,1434,16,1533
1851,Therapeutic,2023-01-05,1398,21,1479
1852,Monitoring,2023-01-06,1417,4,1530
1853,Monitoring,2023-01-06,1468,28,1545
1854,Therapeutic,2023-01-07,1515,4,1582
1855,Surgical,2023-01-07,1585,3,1631
1856,Monitoring,2023-01-09,1531,21,1647
1857,Monitoring,2023-01-14,1396,28,1441
1858,Surgical,2023-01-15,1551,14,1649
1859,Therapeutic,2023-01-15,1503,6,1582
1860,Monitoring,2023-01-16,1540,5,1594
1861,Diagnostic,2023-01-17,1423,27,1523
1862,Diagnostic,2023-01-17,1503,23,1601
1863,Diagnostic,2023-01-18,1423,7,1501
1864,Surgical,2023-01-18,1543,3,1623
1865,Diagnostic,2023-01-19,1547,12,1658
1866,Monitoring,2023-01-19,1422,18,1526
1867,Therapeutic,2023-01-20,1483,15,1567
1868,Monitoring,2023-01-20,1652,26,1766
1869,Therapeutic,2023-01-21,1605,26,1675
1870,Therapeutic,2023-01-22,1441,21,1515
1871,Therapeutic,2023-01-23,1397,26,1427
1872,Surgical,2023-01-23,1471,19,1534
1873,Surgical,2023-01-24,1582,23,1671
1874,Surgical,2023-01-24,1471,18,1503
1875,Therapeutic,2023-01-25,1490,20,1574
1876,Diagnostic,2023-01-26,1485,7,1590
1877,Therapeutic,2023-01-27,1404,20,1448
1878,Monitoring,2023-01-28,1426,7,1502
1879,Surgical,2023-01-29,1505,14,1554
1880,Therapeutic,2023-01-31,1590,25,1665
1881,Monitoring,2023-02-01,1541,19,1645
1882,Diagnostic,2023-02-02,1531,18,1601
1883,Monitoring,2023-02-02,1480,27,1525
1884,Surgical,2023-02-02,1437,7,1549
1885,Diagnostic,2023-02-04,1562,16,1596
1886,Monitoring,2023-02-04,1477,25,1566
1887,Monitoring,2023-02-04,1578,19,1646
1888,Diagnostic,2023-02-05,1659,4,1781
1889,Surgical,2023-02-08,1554,28,1627
1890,Diagnostic,2023-02-09,1483,26,1532
1891,Monitoring,2023-02-09,1590,8,1689
1892,Surgical,2023-02-12,1562,21,1637
1893,Therapeutic,2023-02-12,1552,16,1621
1894,Surgical,2023-02-12,1523,19,1587
1895,Therapeutic,2023-02-15,1522,19,1617
1896,Monitoring,2023-02-16,1585,6,1641
1897,Surgical,2023-02-16,1483,6,1546
1898,Monitoring,2023-02-16,1544,15,1580
1899,Surgical,2023-02-18,1439,19,1481
1900,Diagnostic,2023-02-19,1464,25,1508
1901,Diagnostic,2023-02-19,1597,21,1658
1902,Diagnostic,2023-02-20,1478,11,1545
1903,Monitoring,2023-02-20,1511,22,1613
1904,Diagnostic,2023-02-21,1507,28,1579
1905,Surgical,2023-02-21,1440,12,1554
1906,Monitoring,2023-02-21,1482,25,1538
1907,Surgical,2023-02-22,1502,25,1611
1908,Diagnostic,2023-02-22,1525,22,1580
1909,Surgical,2023-02-22,1418,28,1505
1910,Monitoring,2023-02-23,1435,11,1517
1911,Monitoring,2023-02-27,1501,14,1537
1912,Monitoring,2023-02-27,1504,26,1583
1913,Diagnostic,2023-02-28,1510,18,1617
1914,Monitoring,2023-02-28,1547,13,1585
1915,Therapeutic,2023-03-01,1614,13,1646
1916,Diagnostic,2023-03-01,1470,16,1550
1917,Monitoring,2023-03-01,1578,3,1646
1918,Therapeutic,2023-03-02,1575,21,1683
1919,Monitoring,2023-03-03,1589,4,1674
1920,Surgical,2023-03-04,1541,28,1619
1921,Therapeutic,2023-03-06,1482,7,1596
1922,Diagnostic,2023-03-08,1438,25,1523
1923,Monitoring,2023-03-08,1537,3,1571
1924,Therapeutic,2023-03-09,1535,28,1600
1925,Therapeutic,2023-03-10,1526,29,1603
1926,Monitoring,2023-03-11,1564,23,1670
1927,Diagnostic,2023-03-12,1557,11,1652
1928,Surgical,2023-03-12,1536,10,1616
1929,Therapeutic,2023-03-12,1532,25,1589
1930,Monitoring,2023-03-12,1535,22,1646
1931,Diagnostic,2023-03-13,1560,22,1624
1932,Monitoring,2023-03-13,1554,10,1638
1933,Surgical,2023-03-13,1655,27,1743
1934,Diagnostic,2023-03-16,1468,15,1560
1935,Surgical,2023-03-18,1507,28,1587
1936,Monitoring,2023-03-19,1560,24,1653
1937,Surgical,2023-03-20,1600,3,1637
1938,Diagnostic,2023-03-20,1588,13,1635
1939,Diagnostic,2023-03-22,1559,26,1650
1940,Surgical,2023-03-22,1420,22,1463
1941,Surgical,2023-03-22,1469,10,1503
1942,Diagnostic,2023-03-23,1487,26,1577
1943,Therapeutic,2023-03-24,1593,24,1717
1944,Monitoring,2023-03-24,1623,29,1680
1945,Therapeutic,2023-03-24,1547,22,1633
1946,Diagnostic,2023-03-25,1564,9,1679
1947,Diagnostic,2023-03-25,1494,15,1576
1948,Surgical,2023-03-26,1563,23,1662
1949,Monitoring,2023-03-28,1501,18,1578
1950,Therapeutic,2023-03-29,1560,26,1622
1951,Diagnostic,2023-03-30,1539,11,1606
1952,Therapeutic,2023-03-31,1536,23,1580
1953,Diagnostic,2023-04-01,1489,17,1581
1954,Therapeutic,2023-04-02,1618,19,1693
1955,Therapeutic,2023-04-03,1406,24,1490
1956,Diagnostic,2023-04-03,1629,19,1702
1957,Monitoring,2023-04-04,1516,22,1620
1958,Diagnostic,2023-04-04,1423,5,1464
1959,Surgical,2023-04-05,1446,25,1498
1960,Therapeutic,2023-04-07,1506,17,1588
1961,Monitoring,2023-04-09,1492,13,1584
1962,Monitoring,2023-04-12,1456,18,1548
1963,Surgical,2023-04-13,1487,28,1523
1964,Diagnostic,2023-04-13,1473,26,1507
1965,Monitoring,2023-04-16,1465,23,1533
1966,Monitoring,2023-04-17,1514,17,1553
1967,Surgical,2023-04-17,1536,4,1607
1968,Diagnostic,2023-04-19,1561,8,1625
1969,Monitoring,2023-04-19,1647,13,1712
1970,Surgical,2023-04-20,1517,8,1576
1971,Surgical,2023-04-21,1506,20,1559
1972,Monitoring,2023-04-21,1482,21,1592
1973,Monitoring,2023-04-22,1472,22,1587
1974,Therapeutic,2023-04-23,1612,16,1723
1975,Surgical,2023-04-26,1534,13,1652
1976,Diagnostic,2023-04-26,1528,11,1594
1977,Surgical,2023-04-27,1543,5,1626
1978,Diagnostic,2023-04-27,1621,18,1664
1979,Surgical,2023-04-30,1596,14,1672
1980,Diagnostic,2023-05-01,1629,27,1708
1981,Diagnostic,2023-05-01,1390,20,1488
1982,Diagnostic,2023-05-01,1409,24,1480
1983,Diagnostic,2023-05-01,1596,20,1695
1984,Diagnostic,2023-05-04,1467,6,1523
1985,Therapeutic,2023-05-05,1495,3,1597
1986,Therapeutic,2023-05-06,1545,14,1651
1987,Therapeutic,2023-05-07,1430,19,1479
1988,Monitoring,2023-05-08,1666,5,1765
1989,Surgical,2023-05-08,1539,7,1656
1990,Therapeutic,2023-05-09,1556,3,1634
1991,Monitoring,2023-05-10,1449,19,1495
1992,Diagnostic,2023-05-15,1604,23,1693
1993,Surgical,2023-05-15,1540,7,1592
1994,Monitoring,2023-05-18,1396,21,1428
1995,Diagnostic,2023-05-19,1575,22,1695
1996,Surgical,2023-05-20,1487,10,1517
1997,Therapeutic,2023-05-20,1493,13,1558
1998,Monitoring,2023-05-22,1488,22,1555
1999,Surgical,2023-05-22,1634,8,1686
2000,Diagnostic,2023-05-26,1577,5,1660
2001,Surgical,2023-05-26,1468,15,1507
2002,Therapeutic,2023-05-28,1501,16,1592
2003,Diagnostic,2023-05-28,1380,19,1426
2004,Monitoring,2023-05-30,1536,5,1646
2005,Therapeutic,2023-05-31,1606,23,1640
2006,Surgical,2023-05-31,1438,13,1524
2007,Surgical,2023-06-01,1545,29,1586
2008,Monitoring,2023-06-03,1564,20,1613
2009,Monitoring,2023-06-06,1452,11,1514
2010,Monitoring,2023-06-06,1491,9,1554
2011,Therapeutic,2023-06-07,1557,29,1633
2012,Therapeutic,2023-06-08,1415,29,1445
2013,Surgical,2023-06-10,1390,22,1420
2014,Therapeutic,2023-06-10,1487,21,1544
2015,Diagnostic,2023-06-10,1457,11,1553
2016,Surgical,2023-06-11,1440,15,1475
2017,Diagnostic,2023-06-13,1504,28,1558
2018,Therapeutic,2023-06-14,1532,26,1631
2019,Diagnostic,2023-06-16,1507,5,1575
2020,Monitoring,2023-06-16,1533,22,1566
2021,Monitoring,2023-06-19,1521,19,1577
2022,Monitoring,2023-06-19,1523,18,1620
2023,Diagnostic,2023-06-20,1593,15,1663
2024,Surgical,2023-06-20,1471,12,1574
2025,Therapeutic,2023-06-21,1489,16,1572
2026,Surgical,2023-06-23,1423,15,1473
2027,Monitoring,2023-06-23,1401,5,1433
2028,Monitoring,2023-06-24,1501,22,1606
2029,Monitoring,2023-06-24,1598,25,1633
2030,Diagnostic,2023-06-25,1423,4,1479
2031,Monitoring,2023-06-25,1353,29,1417
2032,Surgical,2023-06-30,1540,10,1651
2033,Therapeutic,2023-07-01,1444,24,1511
2034,Diagnostic,2023-07-04,1515,13,1566
2035,Monitoring,2023-07-04,1461,26,1558
2036,Monitoring,2023-07-05,1492,17,1563
2037,Surgical,2023-07-07,1372,20,1419
2038,Diagnostic,2023-07-09,1463,9,1519
2039,Diagnostic,2023-07-09,1493,29,1562
2040,Diagnostic,2023-07-09,1461,13,1533
2041,Monitoring,2023-07-10,1507,26,1568
2042,Monitoring,2023-07-11,1476,17,1570
2043,Diagnostic,2023-07-12,1430,3,1510
2044,Therapeutic,2023-07-13,1454,24,1500
2045,Surgical,2023-07-15,1506,8,1618
2046,Surgical,2023-07-16,1450,20,1514
2047,Surgical,2023-07-18,1408,11,1445
2048,Diagnostic,2023-07-18,1419,16,1468
2049,Diagnostic,2023-07-18,1495,8,1582
2050,Diagnostic,2023-07-18,1517,10,1633
2051,Therapeutic,2023-07-19,1435,15,1529
2052,Surgical,2023-07-19,1483,4,1575
2053,Diagnostic,2023-07-19,1432,16,1519
2054,Diagnostic,2023-07-23,1552,19,1622
2055,Surgical,2023-07-24,1419,25,1488
2056,Surgical,2023-07-26,1463,17,1519
2057,Surgical,2023-07-29,1361,23,1454
2058,Surgical,2023-07-29,1465,15,1569
2059,Diagnostic,2023-07-30,1475,8,1542
2060,Diagnostic,2023-07-31,1525,19,1614
2061,Therapeutic,2023-08-02,1461,11,1536
2062,Diagnostic,2023-08-03,1517,17,1624
2063,Surgical,2023-08-05,1507,13,1574
2064,Diagnostic,2023-08-05,1464,12,1550
2065,Therapeutic,2023-08-07,1417,20,1480
2066,Surgical,2023-08-08,1533,15,1626
2067,Monitoring,2023-08-09,1505,29,1606
2068,Monitoring,2023-08-10,1486,24,1544
2069,Therapeutic,2023-08-12,1382,28,1413
2070,Monitoring,2023-08-12,1454,20,1558
2071,Diagnostic,2023-08-13,1487,17,1519
2072,Therapeutic,2023-08-17,1470,15,1557
2073,Therapeutic,2023-08-19,1506,21,1574
2074,Monitoring,2023-08-19,1520,26,1554
2075,Monitoring,2023-08-19,1398,14,1457
2076,Monitoring,2023-08-20,1452,13,1557
2077,Diagnostic,2023-08-21,1390,20,1466
2078,Surgical,2023-08-22,1381,15,1430
2079,Therapeutic,2023-08-23,1442,7,1507
2080,Diagnostic,2023-08-23,1510,9,1589
2081,Monitoring,2023-08-25,1522,7,1639
2082,Therapeutic,2023-08-26,1498,5,1538
2083,Monitoring,2023-08-26,1430,15,1524
2084,Diagnostic,2023-08-26,1533,12,1564
2085,Monitoring,2023-08-27,1542,13,1653
2086,Diagnostic,2023-08-27,1490,29,1591
2087,Diagnostic,2023-08-27,1538,14,1607
2088,Monitoring,2023-08-30,1457,4,1557
2089,Surgical,2023-08-31,1375,16,1448
2090,Surgical,2023-09-01,1466,27,1578
2091,Surgical,2023-09-02,1410,29,1440
2092,Surgical,2023-09-02,1433,14,1478
2093,Surgical,2023-09-04,1489,10,1521
2094,Diagnostic,2023-09-04,1486,20,1526
2095,Diagnostic,2023-09-04,1519,6,1609
2096,Monitoring,2023-09-05,1500,17,1530
2097,Monitoring,2023-09-05,1394,20,1468
2098,Diagnostic,2023-09-05,1600,18,1680
2099,Therapeutic,2023-09-08,1487,16,1590
2100,Therapeutic,2023-09-08,1379,23,1422
2101,Therapeutic,2023-09-08,1438,29,1548
2102,Monitoring,2023-09-10,1408,29,1510
2103,Diagnostic,2023-09-14,1392,19,1461
2104,Monitoring,2023-09-15,1441,25,1480
2105,Monitoring,2023-09-15,1311,20,1391
2106,Monitoring,2023-09-18,1447,24,1536
2107,Therapeutic,2023-09-19,1443,15,1482
2108,Surgical,2023-09-20,1461,7,1546
2109,Diagnostic,2023-09-21,1387,10,1484
2110,Monitoring,2023-09-23,1397,3,1499
2111,Therapeutic,2023-09-25,1487,20,1572
2112,Surgical,2023-09-25,1517,8,1599
2113,Surgical,2023-09-25,1450,17,1486
2114,Therapeutic,2023-09-26,1592,26,1630
2115,Diagnostic,2023-09-28,1461,14,1554
2116,Surgical,2023-09-28,1420,19,1505
2117,Surgical,2023-09-30,1594,26,1644
2118,Diagnostic,2023-09-30,1506,9,1546
2119,Diagnostic,2023-10-01,1555,4,1659
2120,Monitoring,2023-10-04,1497,23,1549
2121,Monitoring,2023-10-07,1555,23,1674
2122,Therapeutic,2023-10-07,1531,9,1564
2123,Therapeutic,2023-10-09,1438,22,1535
2124,Monitoring,2023-10-09,1557,23,1603
2125,Diagnostic,2023-10-09,1556,25,1590
2126,Therapeutic,2023-10-10,1512,15,1615
2127,Therapeutic,2023-10-12,1454,12,1489
2128,Therapeutic,2023-10-15,1480,5,1509
2129,Diagnostic,2023-10-16,1574,22,1691
2130,Surgical,2023-10-20,1377,29,1455
2131,Monitoring,2023-10-23,1519,10,1607
2132,Monitoring,2023-10-23,1548,5,1590
2133,Monitoring,2023-10-24,1635,27,1701
2134,Therapeutic,2023-10-24,1563,8,1656
2135,Monitoring,2023-10-26,1624,16,1722
2136,Monitoring,2023-10-26,1560,5,1671
2137,Diagnostic,2023-10-28,1457,16,1501
2138,Surgical,2023-10-28,1594,6,1655
2139,Diagnostic,2023-10-30,1441,11,1545
2140,Therapeutic,2023-11-01,1516,18,1580
2141,Surgical,2023-11-02,1508,29,1574
2142,Therapeutic,2023-11-03,1567,23,1632
2143,Surgical,2023-11-05,1556,10,1600
2144,Surgical,2023-11-06,1523,12,1635
2145,Monitoring,2023-11-08,1482,25,1519
2146,Diagnostic,2023-11-09,1550,9,1655
2147,Therapeutic,2023-11-13,1514,13,1623
2148,Monitoring,2023-11-15,1469,20,1566
2149,Diagnostic,2023-11-18,1625,16,1673
2150,Surgical,2023-11-20,1492,12,1554
2151,Surgical,2023-11-25,1628,7,1736
2152,Monitoring,2023-11-26,1509,17,1579
2153,Surgical,2023-11-26,1505,23,1604
2154,Therapeutic,2023-11-29,1496,22,1597
2155,Diagnostic,2023-12-01,1542,21,1586
2156,Monitoring,2023-12-01,1459,17,1534
2157,Diagnostic,2023-12-01,1506,8,1559
2158,Diagnostic,2023-12-02,1478,20,1564
2159,Therapeutic,2023-12-03,1556,13,1660
2160,Diagnostic,2023-12-04,1596,18,1680
2161,Monitoring,2023-12-04,1476,7,1582
2162,Therapeutic,2023-12-05,1401,17,1461
2163,Surgical,2023-12-05,1506,15,1558
2164,Therapeutic,2023-12-05,1552,15,1629
2165,Diagnostic,2023-12-06,1475,17,1565
2166,Diagnostic,2023-12-07,1592,6,1672
2167,Surgical,2023-12-08,1516,7,1581
2168,Therapeutic,2023-12-10,1537,11,1627
2169,Diagnostic,2023-12-11,1598,9,1684
2170,Diagnostic,2023-12-11,1526,13,1616
2171,Monitoring,2023-12-16,1734,14,1812
2172,Surgical,2023-12-17,1569,6,1626
2173,Surgical,2023-12-19,1634,21,1711
2174,Diagnostic,2023-12-19,1463,8,1532
2175,Surgical,2023-12-20,1645,18,1736
2176,Therapeutic,2023-12-20,1705,12,1837
2177,Monitoring,2023-12-21,1547,4,1591
2178,Therapeutic,2023-12-22,1548,15,1586
2179,Surgical,2023-12-22,1572,21,1686
2180,Surgical,2023-12-24,1600,9,1659
2181,Diagnostic,2023-12-25,1644,3,1762
2182,Surgical,2023-12-26,1675,25,1796
2183,Surgical,2023-12-27,1434,8,1478
2184,Surgical,2023-12-27,1541,13,1592
2185,Monitoring,2024-01-01,1527,9,1587
2186,Diagnostic,2024-01-03,1627,8,1718
2187,Therapeutic,2024-01-06,1597,10,1689
2188,Monitoring,2024-01-06,1702,10,1751
2189,Surgical,2024-01-06,1621,14,1732
2190,Monitoring,2024-01-07,1585,26,1656
2191,Therapeutic,2024-01-08,1601,17,1644
2192,Monitoring,2024-01-10,1667,14,1755
2193,Diagnostic,2024-01-13,1516,8,1603
2194,Monitoring,2024-01-14,1487,25,1600
2195,Therapeutic,2024-01-15,1634,27,1699
2196,Therapeutic,2024-01-16,1468,4,1503
2197,Monitoring,2024-01-18,1594,25,1683
2198,Diagnostic,2024-01-20,1749,10,1885
2199,Therapeutic,2024-01-21,1633,24,1739
2200,Diagnostic,2024-01-21,1611,9,1738
2201,Therapeutic,2024-01-22,1568,25,1675
2202,Therapeutic,2024-01-22,1597,23,1663
2203,Surgical,2024-01-25,1503,5,1555
2204,Surgical,2024-01-26,1648,17,1709
2205,Diagnostic,2024-01-27,1571,13,1658
2206,Surgical,2024-01-27,1605,12,1685
2207,Surgical,2024-01-28,1683,8,1789
2208,Surgical,2024-01-28,1790,8,1856
2209,Diagnostic,2024-01-30,1654,16,1773
2210,Surgical,2024-02-03,1807,12,1938
2211,Monitoring,2024-02-03,1660,26,1722
2212,Diagnostic,2024-02-03,1636,8,1732
2213,Therapeutic,2024-02-05,1741,24,1823
2214,Therapeutic,2024-02-07,1764,3,1873
2215,Surgical,2024-02-07,1611,16,1730
2216,Therapeutic,2024-02-10,1682,26,1770
2217,Therapeutic,2024-02-12,1622,27,1724
2218,Surgical,2024-02-12,1790,5,1873
2219,Surgical,2024-02-12,1595,18,1661
2220,Monitoring,2024-02-12,1844,27,1911
2221,Therapeutic,2024-02-13,1530,27,1607
